"","logFC","logCPM","PValue","FDR"
"ENSG00000204389",-3.14458843193485,3.81331742765335,1.06845222615724e-32,1.60201887089216e-28
"ENSG00000118503",-2.89651972670826,3.77681936514302,1.41909723703797e-32,1.60201887089216e-28
"ENSG00000177606",-3.40676040510657,3.75119936957004,1.67414221851972e-31,1.25995943365794e-27
"ENSG00000204388",-3.00940433298262,3.52835319801089,6.18179971230367e-30,3.4893168476098e-26
"ENSG00000116717",-2.87798268675584,2.21536712606634,6.78547742326383e-25,3.06405018524902e-21
"ENSG00000100906",-2.59149038962104,2.723002788262,4.02583751919793e-22,1.51492265847418e-18
"ENSG00000229644",-3.40163647877906,0.933959047696849,5.5281364343119e-22,1.78306092019849e-18
"ENSG00000198242",-3.13306955902291,5.74249518055456,4.06408775558262e-21,1.1469871668193e-17
"ENSG00000198034",-2.15708823377557,4.41503746108451,4.78154069864214e-20,1.19952917659936e-16
"ENSG00000249870",-1.77793429425067,3.68079038194338,1.46991476824232e-18,3.3187735637375e-15
"ENSG00000226377",-3.82262530345435,2.64267716701976,5.55111271986255e-18,1.13939111808233e-14
"ENSG00000189266",-2.35027197931159,3.17107808510997,2.25181850576096e-17,4.05177378612853e-14
"ENSG00000092841",-1.76180279141094,2.87911363580007,2.33293733810218e-17,4.05177378612853e-14
"ENSG00000135111",1.94548162494195,2.28316335310482,5.0105245866753e-17,8.08054457985393e-14
"ENSG00000143947",-2.44509265603785,4.9088661375997,7.01678587089585e-17,1.05616660928724e-13
"ENSG00000135486",-2.43265589368148,5.56689998090632,8.52536155200569e-17,1.2030350820074e-13
"ENSG00000159200",-1.51733017341407,4.58425509910509,3.18252800512346e-16,4.22677160586339e-13
"ENSG00000183779",2.14054127063942,2.67417195268366,4.55871327199186e-16,5.71814601416846e-13
"ENSG00000237550",-2.09809151054006,1.90134276085287,5.36041213629304e-16,6.36986237964338e-13
"ENSG00000171421",-2.50175412016584,1.91584969567566,3.94690501604769e-15,4.45566107261624e-12
"ENSG00000109320",-1.57740492108104,5.41463006960913,4.29712496904925e-15,4.62002321672352e-12
"ENSG00000180964",-2.21588971735033,0.501357526683833,5.70103178971878e-15,5.85081344310321e-12
"ENSG00000132622",1.72983856204289,2.40754866936513,8.57591797939211e-15,8.41856852777022e-12
"ENSG00000180667",-2.50515300540272,1.41346342484673,1.1116470943005e-14,1.04578200396319e-11
"ENSG00000142676",-2.13887823037375,3.88784588984712,1.29987029724752e-14,1.17393886285018e-11
"ENSG00000183742",-1.95649503252745,6.28934742826141,2.18017181196953e-14,1.89322766040954e-11
"ENSG00000124614",-1.94972484228031,3.78992609965904,4.26260022490122e-14,3.56448103251184e-11
"ENSG00000258344",-2.02018317458822,5.70899370846991,4.54190334588777e-14,3.66239620512336e-11
"ENSG00000086544",-1.7035318860052,4.35742134632108,6.65784662181547e-14,5.18347796646034e-11
"ENSG00000269888",-3.12646631496248,0.823593623357555,7.1368995077932e-14,5.19796506732112e-11
"ENSG00000234851",-3.12646631496248,0.823593623357555,7.1368995077932e-14,5.19796506732112e-11
"ENSG00000004399",1.75710526616873,3.74559026969783,7.80874688259502e-14,5.50955897235095e-11
"ENSG00000110700",-2.70525804535079,5.6648834884469,1.45746177321497e-13,9.97168845928717e-11
"ENSG00000161970",-2.28983688289137,2.95070821592035,1.69763091987403e-13,1.1273267914387e-10
"ENSG00000136997",1.96973213760393,3.0812740982437,1.85646069413697e-13,1.1975762729207e-10
"ENSG00000239808",-2.71182525360573,0.329260594290969,2.18358360310273e-13,1.36947084974593e-10
"ENSG00000170345",-2.46786652703158,2.88997756197654,2.35146007699156e-13,1.43489907076528e-10
"ENSG00000263809",-2.17506074765536,2.99706411125392,3.84884979667096e-13,2.28682449234834e-10
"ENSG00000102309",-1.4559820949025,4.77138117561363,4.39968756912657e-13,2.54708066501897e-10
"ENSG00000250055",2.4003755653932,-0.012747240327551,4.84758917522562e-13,2.7362217099561e-10
"ENSG00000145425",-1.73237950041839,4.53530882163742,5.04836261708028e-13,2.78004710166924e-10
"ENSG00000228598",-2.10110976737251,1.409984251381,5.24318528782061e-13,2.81858660543842e-10
"ENSG00000264577",-2.6072663800522,2.91368856647525,6.53154003797164e-13,3.36185203168249e-10
"ENSG00000156508",-2.05815538128353,8.34475472293515,6.55157628638628e-13,3.36185203168249e-10
"ENSG00000164023",-1.33585688354612,4.26609724504417,7.01231489906466e-13,3.51831212869071e-10
"ENSG00000166341",1.36843564640306,2.73681993594716,7.41653746597249e-13,3.64023006318971e-10
"ENSG00000274376",1.73793876003535,2.19080623286979,8.79938524225237e-13,4.22707489360796e-10
"ENSG00000162924",-1.40544169172973,3.99722417462495,1.10882251999664e-12,5.21562392843418e-10
"ENSG00000089009",-1.70443687863738,4.98180990959128,1.17739783601604e-12,5.42516088603473e-10
"ENSG00000105835",-2.36274759440958,5.02446055564979,1.30024450425429e-12,5.87138408341067e-10
"ENSG00000228502",-2.32661495606336,0.351773785527652,1.34949867607317e-12,5.90056107493173e-10
"ENSG00000126524",-1.62165112080271,2.66928486224531,1.35897411593786e-12,5.90056107493173e-10
"ENSG00000205189",-1.51695027514844,3.98824785684241,1.4509920927699e-12,6.18122631519979e-10
"ENSG00000164142",-1.38416041262508,6.28193194347349,1.67497342253725e-12,7.0032499877863e-10
"ENSG00000166710",-1.63732822304323,3.32583855064844,1.71317960522078e-12,7.03275802303177e-10
"ENSG00000230202",-2.40044403633762,0.928812217593749,1.80289760130075e-12,7.26889679324434e-10
"ENSG00000139567",1.65950253269832,1.89150296429861,1.96800476805459e-12,7.70821473263355e-10
"ENSG00000159263",1.3653458028991,2.67321597161748,1.98014197224177e-12,7.70821473263355e-10
"ENSG00000101843",-2.66765750741493,1.57932269429525,2.61209274817507e-12,9.99590340140624e-10
"ENSG00000168028",-1.65387057298207,4.04936324365279,2.75152200976981e-12,1.02852529424798e-09
"ENSG00000115085",1.60519684759208,1.95907396053788,2.77881313442852e-12,1.02852529424798e-09
"ENSG00000079337",1.50073506299789,2.78311646365565,2.90655010914179e-12,1.05845303813231e-09
"ENSG00000118181",-2.01067702304913,5.22294233892771,3.13554410944292e-12,1.12371928417464e-09
"ENSG00000120129",-2.20781360489585,1.59773084413498,4.17640894642113e-12,1.47335876862963e-09
"ENSG00000265972",-2.06617103892462,5.18694974341392,4.37195165508864e-12,1.51861422259371e-09
"ENSG00000120694",-1.57859692382344,3.78723036880814,4.57256673531556e-12,1.56423351136295e-09
"ENSG00000014123",-1.57652416585346,3.52511346887387,6.09357731429914e-12,2.05344460600367e-09
"ENSG00000138771",-1.46786449982527,7.37943213440203,6.38713655101552e-12,2.12071719189453e-09
"ENSG00000118960",1.44570974569317,3.81599140799444,7.28014558898253e-12,2.38219024794272e-09
"ENSG00000169813",-2.13651885805394,5.75538427007467,8.04749213066356e-12,2.59566110465888e-09
