"","logFC","logCPM","PValue","FDR"
"ENSG00000204389",-2.88347635978773,3.70246860718106,1.83957521497662e-34,4.14511483190682e-30
"ENSG00000177606",-3.4359408250636,3.90406584462983,3.91074188636853e-33,4.4060373462771e-29
"ENSG00000204388",-2.7487415191898,3.4226003297318,6.53341600030023e-30,4.9072487578255e-26
"ENSG00000229644",-3.27192269372271,0.962704930176067,1.52492502021443e-26,8.59028387012293e-23
"ENSG00000198242",-3.52986262190319,6.23768497522325,3.17787410091959e-25,1.43214074232042e-21
"ENSG00000101843",-2.74899917098044,1.83294375339175,1.03292431498419e-22,3.87914726492311e-19
"ENSG00000180667",-2.38769812815946,1.48683435512399,1.91270332628131e-21,6.15699200729955e-18
"ENSG00000269888",-3.51088807250916,1.35898925057511,3.56633508400963e-21,8.92891427199877e-18
"ENSG00000234851",-3.51088807250916,1.35898925057511,3.56633508400963e-21,8.92891427199877e-18
"ENSG00000118503",-3.05378298344867,4.03960826591669,7.15999223285484e-21,1.61336104982918e-17
"ENSG00000105835",-2.32233615904054,5.11855824993971,1.83135621518479e-20,3.75144996334171e-17
"ENSG00000037280",1.97101433786295,3.57531372315927,4.9230531169908e-20,9.24426299042947e-17
"ENSG00000226377",-3.74320601374514,2.70923931484804,5.3663691598157e-20,9.30156894447133e-17
"ENSG00000197558",1.86880750813775,4.056029962708,8.20064601074068e-20,1.31989397542871e-16
"ENSG00000154277",2.16469370426209,3.55823553681215,7.8358633398911e-19,1.17710339091844e-15
"ENSG00000183779",2.68039519945186,2.68876623006146,1.34269900601287e-18,1.89093979390549e-15
"ENSG00000264577",-3.26947420439178,3.64965561150702,1.60519839230591e-18,2.12764325728406e-15
"ENSG00000198034",-2.08311451762299,4.47888562539738,2.08702912043525e-18,2.61261262059819e-15
"ENSG00000136931",2.07830405148918,2.66386039792538,2.92650199806378e-18,3.47067734328269e-15
"ENSG00000132622",1.97927637249811,2.46269654859494,4.89842035406121e-18,5.51880529190307e-15
"ENSG00000004399",1.86499677864035,3.83548204265333,6.96538348607575e-18,7.47385648055928e-15
"ENSG00000135486",-2.17346897020812,5.46314523258326,1.21106878584928e-17,1.24040967961553e-14
"ENSG00000135535",-2.03217224829812,5.78846671618296,1.52094637689228e-17,1.49006455263103e-14
"ENSG00000110700",-2.56241946846235,5.65275493435299,1.64460283512347e-17,1.54407648682655e-14
"ENSG00000145632",-2.13629298878136,1.65673103489619,2.10552835608583e-17,1.89775481790728e-14
"ENSG00000072195",1.82198451364605,3.951697390381,3.6686230321199e-17,3.1794262608753e-14
"ENSG00000278615",-2.6829596317154,1.1100592168138,5.45179551122943e-17,4.5232812641055e-14
"ENSG00000189266",-2.33311337424904,3.28400747211644,5.6207285046356e-17,4.5232812641055e-14
"ENSG00000279602",-2.40048112045399,3.24166818815997,5.94797054287084e-17,4.62157311181064e-14
"ENSG00000055118",1.89904234799617,3.13644013165216,9.29191018146097e-17,6.97915373729533e-14
"ENSG00000183742",-2.44625913485798,6.83264175313301,1.36160264124905e-16,9.89709429524669e-14
"ENSG00000142676",-2.06447335634352,3.94699851075119,1.52258307252785e-16,1.07213638666469e-13
"ENSG00000126524",-1.83056182290283,2.97295619149909,1.97075955666341e-16,1.34567045728171e-13
"ENSG00000116717",-2.68390881084069,2.17071344508487,3.01474898712403e-16,1.99798055667252e-13
"ENSG00000137877",2.01732692942693,3.28585570371232,3.655800748033e-16,2.35360452158365e-13
"ENSG00000249870",-2.40622617235258,4.33888986667581,3.8229818574438e-16,2.39286806093836e-13
"ENSG00000196352",-1.91019194415202,5.20574198121962,4.53675679453027e-16,2.76288488786893e-13
"ENSG00000092841",-1.84292935404592,3.07755317574614,6.3054056454739e-16,3.73893961603851e-13
"ENSG00000170345",-2.87100474321438,3.39845048234281,9.38166877026677e-16,5.42043954872875e-13
"ENSG00000080854",1.6935152752404,4.34836862371672,1.28184717497354e-15,7.22096559841968e-13
"ENSG00000184185",1.74576136697722,3.4599320312601,1.67566575304415e-15,9.20921375935213e-13
"ENSG00000100346",1.6826067865872,4.48310834361584,1.77238094830165e-15,9.50882378763836e-13
"ENSG00000136944",1.70551489479949,4.06240234105234,1.96996020269167e-15,1.03230495923841e-12
"ENSG00000115041",1.56413442298025,4.0100502171929,2.36003911897844e-15,1.20860821518048e-12
"ENSG00000006283",1.76679410017082,5.10648655608435,2.52645107819e-15,1.26507826988567e-12
"ENSG00000254039",1.72602339667761,3.11088426453162,3.96651426907296e-15,1.94298839184828e-12
"ENSG00000228598",-2.38340701799178,1.79196241084605,4.28359213895059e-15,2.05366343972284e-12
"ENSG00000160808",2.12509392941088,2.03803169683064,4.46322582610135e-15,2.09520557374045e-12
"ENSG00000257315",-2.62538366959285,2.89191428151275,5.73656660669741e-15,2.63800112956556e-12
"ENSG00000259295",1.9912548818176,1.70611128666055,6.1708473509708e-15,2.74512557769791e-12
"ENSG00000143384",-2.06178922380724,4.4873763402822,6.21317199052915e-15,2.74512557769791e-12
"ENSG00000100906",-2.48621525234826,2.7406958568926,7.98371423998914e-15,3.45955832633991e-12
"ENSG00000079337",1.69574983482292,2.84329706799431,8.33711456400586e-15,3.54453212208951e-12
"ENSG00000011083",1.80428191606291,2.6367413093528,8.64956597089669e-15,3.60927166707806e-12
"ENSG00000187109",-1.61993809960792,5.09884380490115,9.14056331145312e-15,3.74480569267224e-12
"ENSG00000131747",-1.55064414336273,3.91414337209379,1.01190083507269e-14,4.07163598512375e-12
"ENSG00000118680",-1.67510424467497,4.60943265811861,1.06005917844321e-14,4.19058131015102e-12
"ENSG00000165731",1.6321142664518,3.78555919084034,1.19926660892748e-14,4.65915077568325e-12
"ENSG00000198915",1.53129728664382,4.29336069661823,1.314780532811e-14,5.02134741454748e-12
"ENSG00000132819",1.7585858036801,3.08492953130628,1.37133337341401e-14,5.09443586323776e-12
"ENSG00000265972",-2.48756577178976,5.67791300404596,1.37913543539477e-14,5.09443586323776e-12
"ENSG00000273018",-2.11930933786502,1.9436114775868,1.42576307512942e-14,5.18172893095019e-12
"ENSG00000184205",-1.82275294880604,2.98309930528956,1.4944606192977e-14,5.34518748168811e-12
"ENSG00000274376",1.80339870641663,2.28816672756435,1.61423913308733e-14,5.68338287279013e-12
"ENSG00000120129",-2.14867555570635,1.6994325357377,1.64858017452977e-14,5.7149933957968e-12
"ENSG00000120837",-1.64337482405499,2.59978662673694,1.74180155931285e-14,5.94666886909036e-12
"ENSG00000006534",1.76127956832639,3.33664194353505,1.84180816724334e-14,6.1942482735066e-12
"ENSG00000006625",-2.23586961014121,1.37099134019656,1.92443995211293e-14,6.37697138837658e-12
"ENSG00000072163",1.61004903534333,3.1812718118948,2.06675006203576e-14,6.749286833022e-12
"ENSG00000205189",-1.84263352543579,4.38815069741749,2.21806196648745e-14,7.1399414701231e-12
"ENSG00000162947",-1.64764986329182,3.95001847835475,2.43683980416801e-14,7.72064532042978e-12
"ENSG00000122367",1.56805846875511,3.72896479551443,2.46698825309965e-14,7.72064532042978e-12
"ENSG00000091536",1.75638482844355,4.03175941553943,2.54758961495124e-14,7.86367627310908e-12
"ENSG00000186642",1.62125079677423,5.12881676165047,3.71574131763135e-14,1.12110007524907e-11
"ENSG00000187800",1.81379589359653,2.24867801906356,3.73152734405896e-14,1.12110007524907e-11
"ENSG00000084636",1.80358769698073,2.48164756974264,3.78825446519143e-14,1.12316760347577e-11
"ENSG00000106113",1.63909122317034,2.88801425107533,4.15639774243706e-14,1.21631312117317e-11
"ENSG00000164867",1.79997478901923,2.41732018907927,5.0596658463412e-14,1.45901190320924e-11
"ENSG00000186648",1.76430054382737,1.82709565425694,5.11525053714685e-14,1.45901190320924e-11
"ENSG00000143947",-2.30185616792738,4.91095416841381,5.41326259617603e-14,1.52471307599543e-11
"ENSG00000160683",1.67389005815132,2.52522946254823,5.56650305999545e-14,1.54851868457873e-11
"ENSG00000156508",-1.84259083534041,8.28159837976085,6.15552518437137e-14,1.69149328023707e-11
"ENSG00000137841",1.84037610430747,2.24964179761662,6.96000349291381e-14,1.88951516513044e-11
"ENSG00000086666",-1.77711911466588,4.78382357788476,7.68934173160031e-14,2.06266591950178e-11
"ENSG00000160838",1.8047487136528,1.36859469388216,9.55457629338951e-14,2.5328619719876e-11
"ENSG00000161835",2.06821098665981,1.58866373904375,1.07350114955713e-13,2.81269783755473e-11
"ENSG00000258344",-1.78273041046484,5.63479189099038,1.14239016724566e-13,2.9238086157454e-11
"ENSG00000120694",-1.46296790721998,3.83347474381256,1.14553161811152e-13,2.9238086157454e-11
"ENSG00000109320",-1.95251185953829,5.85323942218522,1.15483498336369e-13,2.9238086157454e-11
"ENSG00000153303",1.66245531930955,2.44071208123535,1.22031139048161e-13,3.05525295130245e-11
"ENSG00000108821",1.6607116691114,3.79952914027019,1.2760997147478e-13,3.15981921674859e-11
"ENSG00000140368",1.63640531330952,2.47466992103747,1.31361400913127e-13,3.21735483345162e-11
"ENSG00000162512",1.67051470301784,2.08311728792397,1.53857363496197e-13,3.70063053914045e-11
"ENSG00000164023",-1.8768448617481,4.82877774816234,1.54377699675677e-13,3.70063053914045e-11
"ENSG00000183092",1.75067150355816,3.5552789432888,1.90308500648047e-13,4.51391731063416e-11
"ENSG00000278217",-2.70149852474449,3.84868488573576,2.05389189249195e-13,4.82086937640845e-11
"ENSG00000275928",1.50169192476144,3.44770135004266,2.10470169859518e-13,4.86516184130947e-11
"ENSG00000109956",1.57091072946664,3.43074685999863,2.11594488283108e-13,4.86516184130947e-11
"ENSG00000180264",1.65570507472227,2.50421144423497,2.15850361831755e-13,4.91288505369185e-11
"ENSG00000117013",1.75540126906755,2.57838081978972,2.28694061203045e-13,5.15316328108821e-11
"ENSG00000101489",1.51824116631542,4.65154604966546,2.3309044497865e-13,5.15825255122929e-11
"ENSG00000259420",1.80278949130904,2.24826808065866,2.33498318122482e-13,5.15825255122929e-11
"ENSG00000143847",1.45681759426471,3.05878541792423,2.41840637755863e-13,5.29067484519696e-11
"ENSG00000130720",1.71231474643825,3.14718631395714,3.15139706907093e-13,6.8279259766707e-11
"ENSG00000011451",1.5569009740543,2.79026451263873,3.18886626225712e-13,6.84330699880378e-11
"ENSG00000159640",1.82493067123068,2.09893853452878,3.22622536754239e-13,6.85816379309742e-11
"ENSG00000266397",-1.89319674337544,2.10932805874071,4.03541656282329e-13,8.49813471122405e-11
"ENSG00000231335",-2.70703998693892,2.93310296213479,4.6165686892396e-13,9.63195761802185e-11
"ENSG00000110172",-1.53502830520261,4.87405841985912,4.75673652596604e-13,9.83335267335714e-11
"ENSG00000173546",1.84893233148667,2.85422965181842,4.91571455815288e-13,1.00696178308053e-10
"ENSG00000114270",1.88752385874041,2.85776751118363,5.16484313436162e-13,1.04846315627541e-10
"ENSG00000076864",1.45956146555351,4.14114399173102,5.58845726096446e-13,1.12432774519029e-10
"ENSG00000159200",-1.62430289422135,4.80449004533072,5.73929180145552e-13,1.14445541736458e-10
"ENSG00000188760",1.91474062981833,1.286823472006,6.6128521017247e-13,1.30708242463301e-10
"ENSG00000165424",1.46501808595079,3.21015445559991,6.78590612170441e-13,1.32962454469883e-10
"ENSG00000276710",1.88169472857991,1.56937358331625,7.27607275111665e-13,1.41337713190441e-10
"ENSG00000164142",-1.92851780962368,6.85581666069101,7.40994844620262e-13,1.42708007126738e-10
"ENSG00000067064",-1.75348407621838,3.47111305758022,8.09790721866182e-13,1.5463571471026e-10
"ENSG00000113161",-1.77302231928789,4.94543000893821,8.27349678313593e-13,1.56661094970086e-10
"ENSG00000007314",1.83334369520159,3.01721097268527,8.47566991837707e-13,1.59151891892325e-10
"ENSG00000268869",1.54702366041318,2.54409217632322,9.66456139469421e-13,1.79976497443508e-10
"ENSG00000260458",1.67437664287967,1.62030535287284,9.90401412267528e-13,1.82923893628067e-10
