"number","logFC","logCPM","PValue","FDR","GeneID"
"1",0.236462212622951,9.49945522151843,0.0488704038216042,1,"lmo0004"
"10",0.00652332062992876,10.1161254695094,0.885674453713159,1,"lmo0021"
"100",-0.128319984136652,10.5338905699814,0.314318256449125,1,"lmo0194"
"1000",0.0233836394457165,8.1756844496306,0.584579520373337,1,"lmo2293"
"1003",-0.0409866851049709,9.6307509588562,0.565501908283185,1,"lmo2295"
"1005",-0.135841721138257,10.0651223512875,0.131330983080841,1,"lmo2297"
"1007",-0.00035935688383485,11.1570677226359,0.982520319568521,1,"lmo2299"
"1009",0.0807940109565503,10.5474904722309,0.324152675001386,1,"lmo2301"
"1012",0.168079269638836,9.16753636446085,0.167203404187511,1,"lmo2307"
"1014",0.0980575786645677,9.30462710779059,0.32784258681932,1,"lmo2309"
"102",-0.0259456409067751,8.66756220745037,0.551151241761346,1,"lmo0195"
"1022",0.128024042403742,10.7875828955598,0.302528836568697,1,"lmo2317"
"1025",0.0841880843453086,9.15174847047522,0.20491908054843,1,"lmo2320"
"1027",0.0376662451398573,10.0946846251139,0.690211469002381,1,"lmo2323"
"103",-0.0220357035441882,10.3944596116224,0.936988532898148,1,"sul"
"1030",0.303066188889158,9.55208485437127,0.00897315376869529,1,"lmo2326"
"1032",0.0530441355992764,11.1212057947556,0.717681360192812,1,"int"
"1033",0.0997610645397335,8.33763094261104,0.321438424665955,1,"'comK"
"1035",-0.012431159595945,10.3715279109712,0.921139443937965,1,"lmo2337"
"1037",-0.131215899350171,8.37359785272216,0.10453813240833,1,"lmo2340"
"1038",-0.0770578700570302,10.7651524691572,0.597938272643055,1,"lmo2341"
"104",-0.170292601925596,9.50947890854672,0.162046136619288,1,"folA"
"1040",-0.0507763470540692,8.21724063949007,0.457954662873387,1,"lmo2343"
"1044",0.126416976933973,10.0522788570606,0.226383191435117,1,"lmo2347"
"1046",0.0411184344690661,9.66092328325924,0.53446187181502,1,"lmo2350"
"1047",0.0357386298332979,9.54546282047475,0.81480715330166,1,"lmo2351"
"1048",-0.131110523025552,11.0598813900133,0.286782888196765,1,"lmo2355"
"1050",-0.101667453195938,10.9496226463405,0.366493840272899,1,"lmo2362"
"1051",-0.111013030410304,10.9998741273331,0.414328388866797,1,"lmo2363"
"1052",-0.172655291286162,7.85970372770363,0.582833863739584,1,"lmo2363"
"1053",-0.196359890037366,11.1653670832667,0.528734599570665,1,"lmo2371"
"1055",-0.218315694403057,8.25823931469216,0.385024595684649,1,"lmo2372"
"1056",-0.124206791839277,11.9844664473414,0.466491030329495,1,"lmo2378"
"106",0.0295783159622371,10.1669028041418,0.569715368381269,1,"lmo0229"
"1063",-0.063093758348039,10.9438203837947,0.563433118221344,1,"lmo2403"
"1065",0.0181919314585729,10.2894703182255,0.93571312681274,1,"lmo2404"
"1067",0.150733638608519,9.16123151243088,0.271160396140551,1,"lmo2408"
"107",-0.0330875776363574,10.6111779003312,0.909922862252789,1,"lmo0230"
"1070",-0.0130669557048236,11.384367567804,0.95461503096948,1,"lmo2414"
"1072",-0.0299569202971722,10.643023501912,0.756697454864478,1,"lmo2419"
"1074",0.0557933638860436,10.3446837880768,0.404530560127238,1,"lmo2422"
"1076",0.0802638279376491,8.35883681014803,0.349482929300451,1,"lmo2429"
"1078",-0.0554100711423835,10.4622796338764,0.508407896792426,1,"lmo2431"
"1080",-0.0654630521117636,10.7986274889641,0.757455985649827,1,"tpi"
"1082",-0.0293821485355405,10.1904680785516,0.958518367975915,1,"lmo2464"
"1085",0.0550558650990419,10.4335048835887,0.458862977051414,1,"lmo2474"
"1087",0.122743839360623,10.5533255151151,0.34895253662479,1,"lmo2481"
"1089",-0.0128716296929361,9.45810197895295,0.808054293111291,1,"lmo2485"
"109",-0.281517469056643,11.1758643190953,0.413452189892386,1,"lmo0235"
"1091",-0.0903298829061824,11.6912778505083,0.620494733711453,1,"uvrB"
"1093",-0.0921377935474517,10.4873417985754,0.577572132353606,1,"lmo2498"
"1095",-0.165706049542701,8.39115314717066,0.286800011465104,1,"phoR"
"1096",0.0604098159606401,10.2603506624636,0.467106200707087,1,"phoP"
"1098",-0.0792148706544839,10.4198587650642,0.292657133282759,1,"ftsE"
"1101",0.000536869270609107,11.2044516006228,0.917562961307942,1,"comFA"
"1103",0.119361586087907,10.2595341312511,0.0547080849300639,1,"lmo2516"
"1105",0.0176914132950784,10.5979416541936,0.854757798309692,1,"lmo2521"
"1107",-0.137997629813165,10.4064685009881,0.663978871500285,1,"atpF"
"1109",-0.0370194707419382,10.3620439773891,0.84349484634668,1,"atpI"
"111",0.0572161837762198,10.1644251918751,0.32052842039546,1,"cysE"
"1111",-0.0878277961966227,10.721829837927,0.347300327893441,1,"lmo2541"
"1113",0.296304909304237,8.26024813198624,0.00641991017167558,1,"lmo2542"
"1114",-0.0634178469503047,11.1453424981461,0.756031802536356,1,"prf1"
