"","logFC","logCPM","PValue","FDR"
"1253",-11.799426943549,11.5417446772598,2.31535955951098e-08,7.8471620448849e-06
"1240",-11.6758984564241,11.4289821842453,2.66687546246862e-08,7.8471620448849e-06
"269",-11.6732644652621,11.4239272906269,3.35348805336962e-08,7.8471620448849e-06
"164",-11.4267400766395,11.2005573497767,5.51311275688667e-08,9.6755128883361e-06
"748",-11.3602039443671,11.1385523796059,7.7075916260152e-08,9.95576487307099e-06
"415",-11.2440985786352,11.0126833093461,8.50920074621452e-08,9.95576487307099e-06
"699",-11.3986497585901,11.1474212668738,1.49560803144353e-07,1.49988119724766e-05
"1249",-11.4835819460381,11.2326100719479,1.77647796764986e-07,1.55885941661275e-05
"817",-11.0897814133707,10.8885790249998,2.32962421690568e-07,1.81710688918643e-05
"93",-11.2773689406687,11.054805099841,3.78629480312401e-07,2.45681867414646e-05
"1133",-11.3251018435353,11.0729179933073,3.84971587116967e-07,2.45681867414646e-05
"551",-11.1891450752781,10.9722375296338,4.44730156324404e-07,2.56725647560192e-05
"944",-11.2123362048241,10.9547007568273,4.75524184481207e-07,2.56725647560192e-05
"803",-10.8464081668035,10.6898082437524,5.15679063525075e-07,2.56725647560192e-05
"565",-11.2017206840747,10.9441620408975,5.48559075983315e-07,2.56725647560192e-05
"835",-11.0999935993072,10.8670589309324,8.61848510592728e-07,3.78136034022559e-05
"22",-11.0085113591354,10.7869135830003,1.11239092003204e-06,4.4167207943395e-05
"801",-10.9751658502744,10.7564036393133,1.1324925113691e-06,4.4167207943395e-05
"664",-11.3432905486314,11.1067183206052,1.5469180221016e-06,5.71545500797539e-05
"484",-10.6935903948822,10.5341036735045,1.63734898974961e-06,5.74709495402113e-05
"673",-11.3335927850992,11.0971538737281,1.94548156634756e-06,6.492451048044e-05
"24",-3.74341104720366,12.5165760695145,2.03467126861778e-06,6.492451048044e-05
"103",-10.984237857508,10.7600667010663,2.21801753662534e-06,6.76977526396081e-05
"509",-10.8070783187901,10.6178737477489,2.43402676601099e-06,7.11952829058215e-05
"118",-10.5603684615131,10.4331129401377,2.61695960691325e-06,7.28651684721271e-05
"619",-11.0134310933347,10.810784112221,2.69870994341212e-06,7.28651684721271e-05
"445",-11.3562430835401,11.1029286972681,3.83498899453891e-06,9.97097138580117e-05
"453",-10.8700389696397,10.6225057223037,5.88664645562952e-06,0.000146707632612227
"323",-10.8341904017258,10.6010203726679,6.06774154412194e-06,0.000146707632612227
"15",-10.8904912757692,10.628327665453,6.47083927254693e-06,0.000146707632612227
"427",-10.803312997928,10.5780514122261,6.47854218088181e-06,0.000146707632612227
"34",-3.33279592344922,12.1454515140153,8.49313339757984e-06,0.000181102541833224
"1096",-10.8320640141284,10.5913361917803,8.51336735113445e-06,0.000181102541833224
"431",-10.6497325851568,10.4406471087185,1.36773054563795e-05,0.000282396130305248
"474",-10.4604837953587,10.2946312773981,1.77263359621049e-05,0.000350310917015562
"651",-10.473041988588,10.3146125627255,1.79646624110544e-05,0.000350310917015562
"258",-10.452326590903,10.2570608003048,3.09059453924043e-05,0.000586377666634266
"334",-10.5241849437058,10.3280645593294,3.40440506855092e-05,0.000628919041611248
"627",-10.5846270235978,10.3431907122239,5.94144426326682e-05,0.00105371792156922
"1255",-10.1298969385975,10.0019745808961,6.00409072119211e-05,0.00105371792156922
"169",-10.9140687043712,10.6474230805707,6.90350546348975e-05,0.00118201483789507
"158",-2.72891472670179,11.5798974235913,7.23435682880482e-05,0.00119513299805569
"129",-3.03028647994249,11.8634346342528,7.32061523025567e-05,0.00119513299805569
"294",-10.0406079185846,9.91680198489005,9.08957558661694e-05,0.00145020046859207
