,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,24.30230525,1.179715738,0.637310146,1.851085763,0.064157216,0.857491457
15,15.91351695,-1.545148518,0.763137126,-2.024732469,0.042894843,0.857491457
22,17.60051728,-1.642813887,0.763494048,-2.151704903,0.031420604,0.857491457
24,54.80598139,-2.076714653,0.711735054,-2.91781983,0.00352488,0.857491457
34,45.26752706,-1.88440309,0.719823947,-2.617866628,0.008848138,0.857491457
38,188.2552954,-0.879753879,0.385098308,-2.284491675,0.022342651,0.857491457
93,20.46952897,-1.77934928,0.763040954,-2.331918451,0.019704982,0.857491457
102,16.13335692,1.331940632,0.708842101,1.879037138,0.060239422,0.857491457
103,15.97191872,-1.574589327,0.763466791,-2.062420194,0.039167748,0.857491457
123,45.97617509,-1.343843299,0.670620308,-2.003881009,0.045082808,0.857491457
129,35.84912792,-1.597668604,0.732450247,-2.181265704,0.02916377,0.857491457
158,33.28727617,-1.51445413,0.736251308,-2.056979884,0.039688161,0.857491457
164,22.7134425,-1.857927783,0.763623263,-2.433042407,0.014972547,0.857491457
211,32.51888227,-1.513541758,0.735687999,-2.057314731,0.039655961,0.857491457
269,24.89649275,-1.976248474,0.763264011,-2.589206938,0.009619727,0.857491457
287,43.46313454,-1.245325971,0.674298848,-1.846845764,0.064769497,0.857491457
296,15.68880814,1.694137787,0.723012596,2.34316497,0.019120926,0.857491457
323,15.80569053,-1.549969873,0.763170006,-2.030962774,0.042258771,0.857491457
334,13.79809818,-1.410315841,0.763847209,-1.846332387,0.064843958,0.857491457
339,14.01331312,-1.412806772,0.763199314,-1.851163577,0.064146024,0.857491457
415,20.23818699,-1.75873178,0.763496667,-2.303522539,0.021249461,0.857491457
427,14.07811768,-1.456364245,0.763172951,-1.908301708,0.056352232,0.857491457
431,13.70908666,-1.408514634,0.764064675,-1.843449488,0.06526341,0.857491457
445,17.01826608,-1.603354643,0.763280331,-2.100610456,0.035675175,0.857491457
453,15.45933177,-1.514575985,0.763934388,-1.982599565,0.047412176,0.857491457
484,14.89363315,-1.470363911,0.763593691,-1.925584154,0.054156319,0.857491457
509,13.85004144,-1.426412469,0.76333694,-1.868653794,0.061670996,0.857491457
551,19.38644642,-1.744358027,0.763160527,-2.285702634,0.022271661,0.857491457
