"","logFC","logCPM","PValue","FDR"
"737",14.7478016273595,16.4127233996358,2.26617283620472e-18,1.60218419519673e-15
"994",13.7661398988674,15.4894314895543,5.06249540245947e-18,1.78959212476942e-15
"38",4.72808669626922,16.1115425646142,5.05073229261599e-16,1.1902892436265e-13
"26",13.3592512723924,15.0915795108348,3.74565312489377e-15,6.62044189824974e-13
"1212",13.1932178616688,14.9263083844634,6.77686682103007e-14,9.58248968493651e-12
"1193",13.1250578026936,14.8604291622675,1.08735743515363e-13,1.28126951108937e-11
"736",13.9953156543644,15.668191199743,7.56715392388932e-13,6.92215245093853e-11
"1138",13.0088670485559,14.7469562935132,7.83270432920908e-13,6.92215245093853e-11
"24",12.983308191281,14.7207932216338,9.14841522925475e-13,7.18658840787012e-11
"1177",12.981309192908,14.720027269533,1.0392573933473e-12,7.34754977096541e-11
"7",12.9452643216655,14.6836959297775,2.01840893489712e-12,1.29728646997478e-10
"1214",12.9111094546421,14.6512533937095,3.14686435426832e-12,1.85402758205642e-10
"1056",12.9429189204849,14.6785211382742,3.72790268358812e-12,2.02740553638215e-10
"576",12.8708148923515,14.611296837967,4.55571328185032e-12,2.30063520733441e-10
"1147",13.8649928196266,15.5354441713504,5.86306296255845e-12,2.76345700968588e-10
"1172",12.8412539862219,14.5824516482835,6.86135952735135e-12,3.03186324114838e-10
"1175",12.8759595379926,14.6106440316617,1.60849037659456e-11,6.68942762501383e-10
"395",12.8522130778895,14.577536534303,3.04205355927991e-11,1.19485103689494e-09
"1217",12.695252793311,14.4350798465404,6.03317768466546e-11,2.24497717003078e-09
"244",12.6431273734043,14.3864065854375,6.77674214163633e-11,2.39557834706844e-09
"1174",12.6295490897071,14.3755255020271,7.83282493800817e-11,2.63705106246275e-09
"123",12.5825716864723,14.3298882506083,1.15466420779782e-10,3.71067088596846e-09
"1091",12.5405516075366,14.2889379883461,1.68310639193686e-10,5.17372269173634e-09
"1210",12.5493269631412,14.2966297367209,2.48075359621997e-10,7.30788663553133e-09
"1202",12.4908657303545,14.2391893495281,4.92310586378748e-10,1.3922543382791e-08
"872",12.5102389956207,14.2519552643084,8.23470540212617e-10,2.23920643050123e-08
"981",3.7658587203698,15.1771101751668,9.02142321573899e-10,2.36227637538054e-08
"287",12.4514763103464,14.1982691445593,1.11180683241859e-09,2.80731225185694e-08
"488",12.4442187240102,14.190060631817,1.39565869526638e-09,3.40251964673562e-08
"167",12.4066369093726,14.1532666628171,1.71026943230656e-09,4.03053496213579e-08
"745",12.3356258624424,14.0908223732845,2.02147194348884e-09,4.61026020660198e-08
"185",12.4116803352366,14.1564344011499,2.39487278888688e-09,5.29117206794695e-08
"178",12.31623913675,14.0693701234353,3.01238149743399e-09,6.26816708072615e-08
"204",12.3663499350751,14.113826832173,3.01439435282446e-09,6.26816708072615e-08
"214",12.3826729161039,14.1290317200844,3.52320763317683e-09,6.89004939375487e-08
"1242",12.3177595045969,14.0689996713034,3.52463457191813e-09,6.89004939375487e-08
"656",12.3803798841131,14.1252798073201,3.60582500097497e-09,6.89004939375487e-08
"712",12.2830453693049,14.0374382316466,3.76292345076509e-09,6.98993880854397e-08
"947",12.4951491323781,14.2161311283193,3.85583611786725e-09,6.98993880854397e-08
"936",12.3851657774318,14.1064306335782,4.949034244355e-09,8.74741802689746e-08
"734",12.3587076103035,14.1035782701693,5.85663580371403e-09,1.00991256420142e-07
"297",12.2682716772004,14.0211000759225,7.5304178520621e-09,1.26762033843045e-07
"271",12.2822315349362,14.0315873615386,9.01007857691329e-09,1.48142454741342e-07
"443",12.2118090936964,13.9671263124091,1.02407961129981e-08,1.64550973906584e-07
"1253",12.1828744777992,13.9391511627628,1.18354206083878e-08,1.85947608225115e-07
"239",12.160531019265,13.9169493566534,1.48438561863831e-08,2.27559324634828e-07
"129",12.3049906630692,14.0509282523284,1.51277061638429e-08,2.27559324634828e-07
"1186",12.1949867337611,13.9468164068207,1.61190997044182e-08,2.37420906062993e-07
"859",12.1836185958893,13.9265762701104,1.74384067812995e-08,2.48459314939816e-07
"158",12.1829553890773,13.9364077295069,1.75713801230422e-08,2.48459314939816e-07
"949",12.2168025382869,13.9594045053059,1.94750635794933e-08,2.69977842170623e-07
"562",12.1927593664668,13.9402724292009,2.22180994819718e-08,3.0208069872604e-07
"1239",12.2033664380595,13.9520081621516,2.63326615221626e-08,3.45303326407204e-07
"369",12.2283242341062,13.9769378155254,2.63739457227567e-08,3.45303326407204e-07
"881",12.1201451117726,13.8750406494953,2.9472997723168e-08,3.78861988914178e-07
"211",12.17649161886,13.9271142177595,3.07152849059684e-08,3.87780471937851e-07
"764",12.0655987480866,13.8236441269019,3.15080874737357e-08,3.90810839367212e-07
"840",12.1454575395964,13.895631713562,4.24326815871762e-08,5.1723975658851e-07
"1032",12.1325944937431,13.8829414417417,4.54579227936437e-08,5.44724600256035e-07
"795",12.177527882296,13.9257442332566,4.74178236941858e-08,5.58740022529822e-07
"3",12.017990456528,13.775796154599,4.98879496221168e-08,5.7820951447273e-07
"1048",12.1048840786082,13.8601396923875,5.27222415110638e-08,6.01203624972937e-07
"1258",12.1159237874779,13.8682399563413,5.70635905928249e-08,6.4038029443059e-07
"95",2.48091330065921,14.9009921429227,6.27213772243236e-08,6.9287521402495e-07
"449",12.0670655963861,13.8187838349959,6.698575257861e-08,7.28598878047342e-07
"861",12.015462842601,13.7736050292594,6.98657933757448e-08,7.48410847221993e-07
"63",12.0579788047382,13.8122625167938,7.36674612777869e-08,7.77356643632766e-07
"825",12.0256692561808,13.7864383204811,7.63488101766685e-08,7.79194126118784e-07
"136",12.0939874709591,13.8439507702297,7.6604458255186e-08,7.79194126118784e-07
"693",12.1174958107381,13.8651513959682,7.71479332790875e-08,7.79194126118784e-07
"346",12.0913388979662,13.8423262863019,8.00700327348828e-08,7.97317086529045e-07
"1205",12.0657835760579,13.820105936356,8.85019000461706e-08,8.69039490731148e-07
"1123",12.0908071037316,13.8388022152552,9.69146779673208e-08,9.3861201812186e-07
"1236",12.0337194892487,13.7906547240926,1.05812685956964e-07,1.00345652431225e-06
"804",12.039248296122,13.7946638836006,1.06448711914312e-07,1.00345652431225e-06
"1070",11.9372870268841,13.6996190048957,1.1800505490145e-07,1.07809104332603e-06
"1257",11.9927151357938,13.7457742722302,1.18087666968125e-07,1.07809104332603e-06
"1118",11.9859814664298,13.7435360380719,1.19097832457349e-07,1.07809104332603e-06
"1261",11.9745551394544,13.7318855904366,1.20465618702626e-07,1.07809104332603e-06
"1007",12.1083207726546,13.8539861471773,1.23098470870077e-07,1.0878827363143e-06
"903",12.1202562827062,13.8719144041755,1.26565657007396e-07,1.10471505560776e-06
"195",12.0692079359353,13.8188553175459,1.35642297209054e-07,1.16950126983904e-06
"708",3.17636779770177,14.6002727360394,1.49333820792862e-07,1.27203628072956e-06
"743",11.9549556429446,13.7118901542052,1.58231652282613e-07,1.33178307337866e-06
"1171",11.9118568378986,13.6703062624458,1.87036385870683e-07,1.55570264483027e-06
"498",11.941520865459,13.6966481921188,2.02342673949957e-07,1.6466633984851e-06
"266",11.9477851837705,13.7031096326967,2.02630432345408e-07,1.6466633984851e-06
"1114",11.9434962598121,13.6991071727895,2.0623716513065e-07,1.65143299546772e-06
"162",11.9678935956344,13.7240976196219,2.07889019231438e-07,1.65143299546772e-06
"1240",11.9926649973128,13.7475941544699,2.15886535921731e-07,1.6959086766296e-06
"930",11.8934954475986,13.6535267595055,2.18919638582161e-07,1.7008371920614e-06
"336",12.0356307582646,13.7846702791659,2.34830234532899e-07,1.80461930233434e-06
"1198",12.0467038795736,13.7926213159751,2.47310321355038e-07,1.88009029245174e-06
"269",11.9827667072077,13.7341889039367,2.74831523520405e-07,2.06708390562687e-06
"578",11.9886642397094,13.7381229953225,3.1505992954818e-07,2.32531841651467e-06
"1249",11.8849986007494,13.6417258588476,3.15743377631413e-07,2.32531841651467e-06
"792",11.908688131269,13.6592381531364,3.25074305150625e-07,2.36935601795352e-06
"599",11.9970612234708,13.743852415374,3.36949506679836e-07,2.43085001247596e-06
"386",12.0013639612445,13.7484877493211,3.68882238923513e-07,2.63434083756489e-06
"164",11.7989062840908,13.557807642602,4.06914563641885e-07,2.87688596494813e-06
"343",11.8547221980838,13.6095784983883,5.16416951005885e-07,3.61491865704119e-06
"410",11.8590018771808,13.6150780203682,5.54042777702263e-07,3.84027690034804e-06
"218",11.79588743366,13.5605989448509,6.20202318704056e-07,4.25711688663852e-06
"441",11.7373759785619,13.5027233166103,6.34449437408673e-07,4.31303607930704e-06
"377",11.827247469785,13.5822969862991,6.99954899255282e-07,4.71302965498557e-06
"1246",11.8892042065467,13.6406475960271,7.4652688305012e-07,4.97919345581542e-06
"870",11.9383452149736,13.6860788126341,7.62472385154937e-07,5.00042643100511e-06
"1050",11.8670201658118,13.6173239909051,7.63855805584939e-07,5.00042643100511e-06
"699",11.8451388078184,13.5997923811282,8.24442118342781e-07,5.34752823548941e-06
"668",11.7983487208234,13.5604089344521,8.69297857601653e-07,5.58721441203972e-06
"29",2.03031350117551,15.4389915076013,8.79865599286885e-07,5.60418899725971e-06
"815",11.7697290267077,13.5300937339355,9.29372097992622e-07,5.76032786765205e-06
"1166",11.7899899932211,13.5507599291259,9.30120093017799e-07,5.76032786765205e-06
"1259",11.7747732505564,13.5319874128455,9.30932871782176e-07,5.76032786765205e-06
"586",11.8033537396586,13.5603424080866,9.45050110169502e-07,5.76032786765205e-06
"919",11.7809206473894,13.5193691613896,9.45117443631737e-07,5.76032786765205e-06
"139",11.7737469141167,13.5285941620331,1.17471334982349e-06,7.09848152414704e-06
"831",11.7402267962289,13.4993353487129,1.23789405284575e-06,7.41687368950799e-06
"1111",11.7105024225957,13.4746490589455,1.32102050597684e-06,7.84841594727419e-06
"1250",11.7636637625479,13.5179205274689,1.44404809185458e-06,8.50785000784323e-06
"28",11.859637584891,13.6094496659913,1.52239492162347e-06,8.88829774430074e-06
"591",11.7397956474506,13.4950302194994,1.53376566450451e-06,8.88829774430074e-06
"357",11.7390842357795,13.4957535522874,1.58667615163691e-06,9.0668242113592e-06
