GeneID,S7,S6,S5,S23,S24,S25,S26,S27,S20,S21,S22,S28,S29,S30,S31,S32,S33,S8,S34
lmo0004,0,0,0,788,63,349,55,18,310,369,161,83,347,449,147,1,2,0,1
RecF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0010,0,0,0,2507,225,1023,186,94,1234,1049,479,222,812,1215,516,2,1,0,0
lmo0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0012,0,0,0,556,41,207,37,4,216,214,83,41,186,225,84,0,0,0,0
qoxB,0,0,0,4635,475,2069.5,288,444,2469,2194,1113,733,1847,2282,754,1,2,0,4
qoxC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qoxD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0021,0,0,0,1346.5,127,557,81,46,629,522.5,223,91.5,454,605,285,1,0,0,0
lmo0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0023,0,0,0,2190.5,164,884.5,117,48,1134,956.5,420,179.5,741,1057,360,3,1,0,0
lmo0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0025,0,0,0,271,19.5,109,12,9,142,92,46.5,15.5,76,127.5,49.5,0,0,0,0
lmo0026,0,0,0,1674,134.5,643,98,30,711,626,297.5,102.5,535,801.5,315.5,0,0,0,0
lmo0032,0,0,0,2440,164,950,140,67,1151,991,417,157,763,1119,446,1,1,0,1
lmo0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0034,0,0,1,2928,257,1128,171,67,1377,1197,555,195,913,1403,503,1,2,0,1
lmo0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0037,0,0,0,3839,335,1496,258,93,1777,1577,668,254,1117,1725,647,2,3,2,2
