,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,26.33944268,1.030657721,0.64348495,1.601681161,0.109226133,0.865210325
15,15.96913113,-1.600161323,0.799392917,-2.001720667,0.045314782,0.865210325
22,18.53514931,-1.736480846,0.799503472,-2.171949099,0.029859503,0.865210325
24,60.48983601,-2.223099339,0.747498335,-2.974052562,0.002938947,0.865210325
26,92.63524873,-0.658070269,0.494009404,-1.332100692,0.182827103,0.865210325
28,32.18797946,-0.857821378,0.716409048,-1.197390487,0.23115439,0.865210325
34,43.8850736,-1.880961422,0.759278981,-2.477299477,0.013238077,0.865210325
38,178.5289416,-0.7252153,0.396680856,-1.828208465,0.067518271,0.865210325
41,25.16939463,-1.240819738,0.783377174,-1.58393655,0.113208159,0.865210325
56,9.99372814,-1.117146435,0.798987245,-1.398203091,0.162052089,0.865210325
73,21.89345893,-1.001756681,0.790532197,-1.267192765,0.205086372,0.865210325
80,35.16901362,0.91159917,0.588518094,1.548973905,0.121387993,0.865210325
82,23.90786191,-1.117254866,0.788600124,-1.416757153,0.156553941,0.865210325
92,11.32989308,-1.261703971,0.801207424,-1.57475322,0.115313418,0.865210325
93,18.74872556,-1.74781449,0.798404719,-2.189133467,0.028587141,0.865210325
102,16.62694452,1.398020831,0.731258409,1.911801375,0.055901675,0.865210325
103,16.65389892,-1.618718133,0.798651708,-2.026813587,0.04268148,0.865210325
118,12.44776657,-1.338379652,0.798691388,-1.675715643,0.093793904,0.865210325
123,45.9971057,-1.34463006,0.698006523,-1.926386094,0.054056182,0.865210325
129,39.76198557,-1.727881098,0.765253804,-2.257918991,0.02395071,0.865210325
139,22.81410646,-1.104379645,0.788866293,-1.399957959,0.161525908,0.865210325
145,25.51891501,0.948934716,0.640599878,1.481322036,0.138520779,0.865210325
149,8.872494769,-1.030432664,0.798663596,-1.290196109,0.196982577,0.865210325
158,31.06864816,-1.474445238,0.775137857,-1.902171625,0.057148721,0.865210325
162,37.59029397,-1.036430251,0.718399495,-1.442693457,0.149106843,0.865210325
164,21.99195639,-1.914089506,0.798739899,-2.396386495,0.016557621,0.865210325
169,16.1992268,-1.477818933,0.826830754,-1.787329422,0.073884261,0.865210325
174,10.8070527,-1.188975408,0.798957517,-1.488158486,0.136709103,0.865210325
188,24.48680527,-1.204074735,0.784510338,-1.534810538,0.124830373,0.865210325
189,10.38681023,-1.168883805,0.798665426,-1.463546269,0.143317963,0.865210325
195,34.68105135,-0.891266101,0.714919854,-1.246665756,0.21252008,0.865210325
211,32.45862428,-1.538731047,0.773077391,-1.990397163,0.046547202,0.865210325
213,23.12654463,-1.135354724,0.788076487,-1.44066565,0.149679164,0.865210325
216,0.689460367,1.371424691,0.818522791,1.675487484,0.093838625,0.865210325
236,8.798789702,-1.011976348,0.798721821,-1.266994743,0.20515717,0.865210325
244,49.65246628,-0.917559519,0.647493961,-1.417093556,0.156455576,0.865210325
250,11.58051967,-1.279519927,0.798777856,-1.601847019,0.109189443,0.865210325
253,1.131930021,0.955313962,0.80766201,1.182814037,0.236882856,0.865210325
254,21.0938674,-1.025897986,0.789774318,-1.298976129,0.193952121,0.865210325
258,10.6884438,-1.189440081,0.798889452,-1.488866923,0.136522415,0.865210325
260,46.6413959,0.690296775,0.542208224,1.273121182,0.202975043,0.865210325
263,20.58587593,-0.971587234,0.791828647,-1.227017029,0.219816191,0.865210325
266,33.07430656,-0.875536806,0.716989554,-1.221129097,0.222037145,0.865210325
269,25.66708411,-2.06185506,0.798635654,-2.581721778,0.00983088,0.865210325
280,25.3449733,-1.24159745,0.782951551,-1.585790907,0.112786749,0.865210325
285,10.12536955,-1.143196878,0.798740416,-1.431249572,0.152358701,0.865210325
287,42.75096121,-1.21928012,0.702820794,-1.734837857,0.082769529,0.865210325
293,1.001776714,1.06447291,0.809881073,1.314357065,0.188726072,0.865210325
296,16.39849359,1.706274499,0.741376341,2.301495751,0.021363625,0.865210325
298,11.83505574,-1.29494807,0.798481598,-1.621763198,0.104854061,0.865210325
305,25.87538793,0.958478457,0.640532707,1.496377073,0.134555421,0.865210325
315,13.80979191,-1.461520522,0.798606325,-1.830088838,0.067236656,0.865210325
319,0.719306195,1.309460759,0.82432874,1.588517658,0.112169331,0.865210325
323,13.79178205,-1.460132287,0.798589481,-1.82838908,0.067491179,0.865210325
324,50.61132632,0.74017064,0.512748097,1.443536592,0.148869372,0.865210325
334,13.57743795,-1.450434857,0.799481646,-1.81421908,0.069644004,0.865210325
336,34.35371053,-0.930437345,0.713963676,-1.303199835,0.192506547,0.865210325
339,12.01862496,-1.328510287,0.798691671,-1.663358134,0.096240768,0.865210325
341,7.017844703,1.132693721,0.800891111,1.414291788,0.157276247,0.865210325
346,35.14405575,-0.962818297,0.712315875,-1.351673228,0.176479873,0.865210325
348,21.65352645,-1.030580024,0.789629121,-1.305144399,0.191843683,0.865210325
377,27.78598172,-1.299656782,0.780896014,-1.664314785,0.096049539,0.865210325
380,9.16781395,-1.06413499,0.799532673,-1.330946222,0.183206707,0.865210325
387,23.00845426,-1.145021707,0.786189189,-1.456420061,0.145276533,0.865210325
402,0.772947225,1.30593891,0.813456173,1.605420123,0.108401379,0.865210325
407,8.521220501,-0.980441449,0.799617823,-1.226137563,0.220146912,0.865210325
410,23.54324245,-1.141634665,0.785985378,-1.452488426,0.146365845,0.865210325
413,10.93796046,-1.240384607,0.798834733,-1.552742458,0.120484675,0.865210325
415,21.32089842,-1.863616789,0.798726639,-2.333234799,0.019635825,0.865210325
425,36.35633305,-1.2031387,0.851265724,-1.41335269,0.157552049,0.865210325
427,14.6157628,-1.512987247,0.800051049,-1.891113385,0.05860921,0.865210325
431,14.59954083,-1.491356808,0.798434851,-1.86785034,0.061782934,0.865210325
436,23.03207232,-1.123865199,0.786761117,-1.428470693,0.153156424,0.865210325
445,21.27371914,-1.84468714,0.802293541,-2.299267097,0.021489777,0.865210325
448,5.837923294,1.029797584,0.800192107,1.286937942,0.198115919,0.865210325
453,15.82396917,-1.576389729,0.798510145,-1.974163682,0.048363134,0.865210325
464,11.2016094,-1.248642009,0.798907112,-1.562937657,0.118067259,0.865210325
466,0.893566521,1.179897679,0.820367715,1.438254648,0.150361815,0.865210325
472,8.187453977,-0.961156939,0.798920833,-1.203069065,0.228949595,0.865210325
474,10.81694324,-1.218052626,0.798544668,-1.525340628,0.127174159,0.865210325
480,25.52879556,1.305748666,0.656186908,1.989903562,0.04660156,0.865210325
481,19.70861842,0.872029331,0.708474355,1.230855182,0.218377033,0.865210325
484,14.59565825,-1.477156179,0.799167392,-1.848368933,0.06454899,0.865210325
506,21.06431451,-0.995159398,0.791437417,-1.257407569,0.20860609,0.865210325
509,15.01301541,-1.533873513,0.798456253,-1.921048909,0.054725542,0.865210325
515,10.27542643,-1.16474712,0.79881869,-1.458086967,0.144816573,0.865210325
518,9.907424006,-1.152126019,0.798901343,-1.442138042,0.149263435,0.865210325
521,23.54966166,-1.152568401,0.785734634,-1.466867249,0.142412171,0.865210325
551,18.83937215,-1.759868714,0.798382861,-2.2042917,0.027503836,0.865210325
564,12.4059305,1.00040416,0.792221395,1.262783568,0.206666972,0.865210325
