"","logFC","logCPM","PValue","FDR"
"ENSG00000226377",4.35784252116954,2.63622238377407,2.32231478928162e-15,5.34550418196844e-11
"ENSG00000204389",3.22793736936815,4.07041617438132,1.07493607125816e-10,1.23714392441102e-06
"ENSG00000171421",2.08297702979158,1.35240365029704,1.37879520538436e-09,1.05695818402987e-05
"ENSG00000204388",3.14582104373277,3.80087563342496,1.83675068907788e-09,1.05695818402987e-05
"ENSG00000239808",4.34916137975679,0.638771358811775,3.16417213211164e-09,1.45665828273891e-05
"ENSG00000198242",2.19801003271546,5.43471526737311,2.27254560169454e-08,8.71824244330082e-05
"ENSG00000170345",2.51963079341546,3.03021100357959,4.60739127605485e-08,0.000151504189131758
"ENSG00000228598",2.46600261973078,1.80560533788903,6.71350680621392e-07,0.00181483300566807
"ENSG00000088827",-1.58994106485932,2.49564838557331,7.26602528392702e-07,0.00181483300566807
"ENSG00000229370",1.85086514314899,4.19337322215682,7.8844078793469e-07,0.00181483300566807
"ENSG00000166592",-1.87899508756571,0.207406320814791,1.85250468599722e-06,0.00354879606636825
"ENSG00000277209",1.59592737070187,3.35129167028912,1.91160968119526e-06,0.00354879606636825
"ENSG00000259001",1.5899467212883,3.3574569628902,2.00427269366527e-06,0.00354879606636825
"ENSG00000186480",2.43224090622804,4.97885228649425,2.61458683109265e-06,0.00429875426272076
"ENSG00000163659",2.55730931557308,5.7192940691954,3.42423049737696e-06,0.00525459583924153
"ENSG00000181444",-1.42907569611876,1.35440737098879,3.85241342819901e-06,0.0055421782681428
"ENSG00000257315",2.62178058158341,2.53506161413899,5.58902057236646e-06,0.00735141331318886
"ENSG00000197385",2.16475251459415,0.519578158444248,5.81738229145324e-06,0.00735141331318886
"ENSG00000246422",2.28635074782675,1.33159232647779,6.43836836841829e-06,0.00735141331318886
"ENSG00000229644",2.56328852991448,0.993849706128225,6.46479863600011e-06,0.00735141331318886
"ENSG00000167434",-1.26091668229085,1.95056405509306,6.70691109466357e-06,0.00735141331318886
"ENSG00000204960",-1.47678490619518,0.970770168094109,8.32351580848433e-06,0.00843120984251487
"ENSG00000111912",1.95622299321858,5.86411606383787,8.42461666425588e-06,0.00843120984251487
"ENSG00000278615",1.59868240563783,0.566312566042822,8.81021296682764e-06,0.00844972841960161
"ENSG00000279602",2.59396170272632,2.93702033063475,9.36476186678663e-06,0.00862232354598778
"ENSG00000269888",1.82301970578446,0.806303063850487,1.00002733040938e-05,0.00885331888129352
"ENSG00000006625",2.1539936660387,1.46735475989106,1.09828739763301e-05,0.0091002668068218
"ENSG00000126524",1.59316986398202,2.61736412930693,1.15231093418913e-05,0.0091002668068218
"ENSG00000246877",-1.48570560934134,0.804355294881642,1.2335769183689e-05,0.0091002668068218
"ENSG00000234851",1.83089228487615,0.804468905229425,1.26091213077693e-05,0.0091002668068218
"ENSG00000241737",-1.5305959923879,0.348089180054741,1.26115095334781e-05,0.0091002668068218
"ENSG00000180667",1.92677859367188,1.52683529917478,1.29669913022924e-05,0.0091002668068218
