"X","logFC","logCPM","PValue","FDR","GeneID","Chr","Start","End","Strand","Length"
1253,-11.799426943549,11.5417446772598,2.31535955951098e-08,7.8471620448849e-06,"lmo2840","AL591824.1",2927390,2928631,"-",1242
1240,-11.6758984564241,11.4289821842453,2.66687546246862e-08,7.8471620448849e-06,"serC","AL591824.1",2912595,2913686,"-",1092
269,-11.6732644652621,11.4239272906269,3.35348805336962e-08,7.8471620448849e-06,"cheA","AL591824.1",726413,728269,"+",1857
164,-11.4267400766395,11.2005573497767,5.51311275688667e-08,9.6755128883361e-06,"lmo0383","AL591824.1",406637,408103,"+",1467
748,-11.3602039443671,11.1385523796059,7.7075916260152e-08,9.95576487307099e-06,"purM","AL591824.1",1838614,1839663,"-",1050
415,-11.2440985786352,11.0126833093461,8.50920074621452e-08,9.95576487307099e-06,"gbuA","AL591824.1",1043821,1045014,"+",1194
699,-11.3986497585901,11.1474212668738,1.49560803144353e-07,1.49988119724766e-05,"trpE","AL591824.1",1674961,1676325,"-",1365
1249,-11.4835819460381,11.2326100719479,1.77647796764986e-07,1.55885941661275e-05,"lmo2836","AL591824.1",2923236,2924288,"-",1053
817,-11.0897814133707,10.8885790249998,2.32962421690568e-07,1.81710688918643e-05,"panB","AL591824.1",1976307,1977140,"-",834
93,-11.2773689406687,11.054805099841,3.78629480312401e-07,2.45681867414646e-05,"lmo0179","AL591824.1",179174,180052,"+",879
1133,-11.3251018435353,11.0729179933073,3.84971587116967e-07,2.45681867414646e-05,"lmo2581","AL591824.1",2661076,2662164,"-",1089
551,-11.1891450752781,10.9722375296338,4.44730156324404e-07,2.56725647560192e-05,"lmo1250","AL591824.1",1273473,1274678,"-",1206
944,-11.2123362048241,10.9547007568273,4.75524184481207e-07,2.56725647560192e-05,"lmo2184","AL591824.1",2271444,2272316,"-",873
803,-10.8464081668035,10.6898082437524,5.15679063525075e-07,2.56725647560192e-05,"lmo1874","AL591824.1",1947914,1948858,"-",945
565,-11.2017206840747,10.9441620408975,5.48559075983315e-07,2.56725647560192e-05,"lmo1296","AL591824.1",1323794,1325017,"+",1224
835,-11.0999935993072,10.8670589309324,8.61848510592728e-07,3.78136034022559e-05,"lmo1943","AL591824.1",2018258,2019265,"-",1008
22,-11.0085113591354,10.7869135830003,1.11239092003204e-06,4.4167207943395e-05,"lmo0048","AL591824.1",51775,52389,"+",615
801,-10.9751658502744,10.7564036393133,1.1324925113691e-06,4.4167207943395e-05,"lmo1869","AL591824.1",1943068,1944051,"-",984
664,-11.3432905486314,11.1067183206052,1.5469180221016e-06,5.71545500797539e-05,"mreC","AL591824.1",1580804,1581691,"-",888
484,-10.6935903948822,10.5341036735045,1.63734898974961e-06,5.74709495402113e-05,"lmo1126","AL591824.1",1160778,1161230,"+",453
673,-11.3335927850992,11.0971538737281,1.94548156634756e-06,6.492451048044e-05,"dnaB","AL591824.1",1598432,1599808,"-",1377
24,-3.74341104720366,12.5165760695145,2.03467126861778e-06,6.492451048044e-05,"lmo0052","AL591824.1",54839,56812,"+",1974
103,-10.984237857508,10.7600667010663,2.21801753662534e-06,6.76977526396081e-05,"sul","AL591824.1",232662,233477,"+",816
509,-10.8070783187901,10.6178737477489,2.43402676601099e-06,7.11952829058215e-05,"cobD","AL591824.1",1196097,1197182,"+",1086
118,-10.5603684615131,10.4331129401377,2.61695960691325e-06,7.28651684721271e-05,"lmo0252","AL591824.1",267530,267916,"+",387
619,-11.0134310933347,10.810784112221,2.69870994341212e-06,7.28651684721271e-05,"lmo1437","AL591824.1",1469444,1470487,"-",1044
445,-11.3562430835401,11.1029286972681,3.83498899453891e-06,9.97097138580117e-05,"lmo1057","AL591824.1",1084853,1085806,"+",954
453,-10.8700389696397,10.6225057223037,5.88664645562952e-06,0.000146707632612227,"lmo1075","AL591824.1",1104863,1105864,"+",1002
323,-10.8341904017258,10.6010203726679,6.06774154412194e-06,0.000146707632612227,"lmo0767","AL591824.1",792879,793754,"+",876
15,-10.8904912757692,10.628327665453,6.47083927254693e-06,0.000146707632612227,"lmo0026","AL591824.1",28254,28895,"+",642
427,-10.803312997928,10.5780514122261,6.47854218088181e-06,0.000146707632612227,"lmo1032","AL591824.1",1061291,1062115,"+",825
34,-3.33279592344922,12.1454515140153,8.49313339757984e-06,0.000181102541833224,"lmo0066","AL591824.1",72408,74222,"+",1815
1096,-10.8320640141284,10.5913361917803,8.51336735113445e-06,0.000181102541833224,"phoP","AL591824.1",2576836,2577546,"-",711
431,-10.6497325851568,10.4406471087185,1.36773054563795e-05,0.000282396130305248,"lmo1037","AL591824.1",1067704,1068526,"-",823
474,-10.4604837953587,10.2946312773981,1.77263359621049e-05,0.000350310917015562,"lmo1108","AL591824.1",1145211,1145711,"-",501
651,-10.473041988588,10.3146125627255,1.79646624110544e-05,0.000350310917015562,"lmo1507","AL591824.1",1537815,1538501,"+",687
258,-10.452326590903,10.2570608003048,3.09059453924043e-05,0.000586377666634266,"lmo0677","AL591824.1",712208,712480,"+",273
334,-10.5241849437058,10.3280645593294,3.40440506855092e-05,0.000628919041611248,"lmo0834","AL591824.1",864824,865537,"+",714
627,-10.5846270235978,10.3431907122239,5.94144426326682e-05,0.00105371792156922,"lmo1453","AL591824.1",1485708,1486412,"-",705
1255,-10.1298969385975,10.0019745808961,6.00409072119211e-05,0.00105371792156922,"lmo2846","AL591824.1",2934709,2935070,"-",362
169,-10.9140687043712,10.6474230805707,6.90350546348975e-05,0.00118201483789507,"lmo0391","AL591824.1",414928,415227,"+",300
158,-2.72891472670179,11.5798974235913,7.23435682880482e-05,0.00119513299805569,"lmo0358","AL591824.1",385386,386780,"+",1395
129,-3.03028647994249,11.8634346342528,7.32061523025567e-05,0.00119513299805569,"lmo0288","AL591824.1",311830,313662,"+",1833
294,-10.0406079185846,9.91680198489005,9.08957558661694e-05,0.00145020046859207,"lmo0719","AL591824.1",749985,750311,"+",327
764,-2.71154986614964,11.5640835478756,0.000100080108256362,0.00156124968879925,"ffh","AL591824.1",1873731,1875116,"-",1386
930,-3.32740409257998,11.1945272240479,0.000106195325015025,0.00162063300349017,"lmo2138","AL591824.1",2221671,2223128,"-",1458
92,-10.4280778826385,10.1948650564669,0.000109742349678978,0.0016391304143541,"lmo0174","AL591824.1",172903,173208,"-",306
667,-10.479333303067,10.2472349790152,0.000120967467352741,0.00176914921003384,"comC","AL591824.1",1583928,1584638,"-",711
705,-10.2714495648792,10.0836107774685,0.000124314996558198,0.00178100260375214,"lmo1639","AL591824.1",1683635,1684216,"-",582
933,-10.0525257379918,9.91037050266721,0.000127778565098289,0.00179401105397998,"lmo2141","AL591824.1",2225471,2225944,"+",474
896,-10.4689676105493,10.2332328632695,0.000135850183146183,0.00186993781507099,"lmo2078","AL591824.1",2157383,2157844,"-",462
874,-10.1926799749117,10.0156048045217,0.000144449986398979,0.00195007481638622,"lmo2021","AL591824.1",2100845,2101366,"-",522
407,-9.97650966385433,9.84693356343507,0.000155794277391998,0.00205269572213727,"ptsH","AL591824.1",1032924,1033190,"+",267
776,-10.5154355446949,10.2450468119624,0.000157899670933636,0.00205269572213727,"lmo1827","AL591824.1",1902484,1903101,"-",618
174,-10.3380054703665,10.1298449947635,0.000168960136701629,0.00214951083045942,"lmo0403","AL591824.1",426190,426606,"+",417
825,-2.66908403529957,11.5238062962836,0.000171470949438358,0.00214951083045942,"lmo1915","AL591824.1",1988159,1989802,"+",1644
518,-10.2886014412843,10.0806616526206,0.000180301882084199,0.00222056002145803,"lmo1182","AL591824.1",1209821,1210462,"+",642
649,-10.3237124713552,10.1007467749295,0.000186782637568447,0.00226071399263878,"lmo1505","AL591824.1",1535439,1536134,"-",696
632,-10.0604063868798,9.90409511207196,0.000190475503488,0.00226633565167078,"lmo1463","AL591824.1",1496801,1497196,"-",396
515,-10.5247107338557,10.2536441815566,0.000206883843838107,0.00242054097290585,"lmo1178","AL591824.1",1206590,1207111,"+",522
