"GeneID" "Chr" "Start" "End" "Strand" "Length"
"1" "lmo0004" "AL591824.1" 4644 4865 "+" 222
"2" "RecF" "AL591824.1" 4856 4861 "+" 6
"3" "lmo0010" "AL591824.1" 12918 13886 "+" 969
"4" "lmo0011" "AL591824.1" 13832 13837 "+" 6
"5" "lmo0012" "AL591824.1" 14783 14788 "+" 6
"6" "lmo0012" "AL591824.1" 15882 15921 "+" 40
"7" "qoxB" "AL591824.1" 17344 19323 "+" 1980
"8" "qoxC" "AL591824.1" 19298 19303 "+" 6
"9" "qoxD" "AL591824.1" 19908 19913 "+" 6
"10" "lmo0021" "AL591824.1" 24950 25351 "+" 402
"11" "lmo0022" "AL591824.1" 25338 25343 "+" 6
"12" "lmo0023" "AL591824.1" 25862 26665 "+" 804
"13" "lmo0024" "AL591824.1" 26631 26636 "+" 6
"14" "lmo0025" "AL591824.1" 28209 28246 "+" 38
"15" "lmo0026" "AL591824.1" 28254 28895 "+" 642
"16" "lmo0032" "AL591824.1" 34654 35619 "+" 966
"17" "lmo0033" "AL591824.1" 35604 35609 "+" 6
"18" "lmo0034" "AL591824.1" 38031 39383 "+" 1353
"19" "lmo0035" "AL591824.1" 39371 39376 "+" 6
"20" "lmo0037" "AL591824.1" 41803 43188 "+" 1386
"21" "lmo0038" "AL591824.1" 43161 43166 "+" 6
"22" "lmo0048" "AL591824.1" 51775 52389 "+" 615
"23" "lmo0049" "AL591824.1" 52357 52362 "+" 6
"24" "lmo0052" "AL591824.1" 54839 56812 "+" 1974
"25" "rplI" "AL591824.1" 56800 56805 "+" 6
"26" "lmo0057" "AL591824.1" 60948 64154 "+" 3207
"27" "lmo0058" "AL591824.1" 64129 64134 "+" 6
"28" "lmo0060" "AL591824.1" 64950 66146 "+" 1197
"29" "lmo0061" "AL591824.1" 66160 70656 "+" 4497
"30" "lmo0062" "AL591824.1" 70676 71071 "+" 396
"31" "lmo0063" "AL591824.1" 71049 71054 "+" 6
"32" "lmo0064" "AL591824.1" 71344 71349 "+" 6
"33" "lmo0065" "AL591824.1" 72048 72053 "+" 6
"34" "lmo0066" "AL591824.1" 72408 74222 "+" 1815
"35" "lmo0073" "AL591824.1" 78090 78374 "+" 285
"36" "lmo0075" "AL591824.1" 79047 79820 "+" 774
"37" "lmo0076" "AL591824.1" 79802 79807 "+" 6
"38" "lmo0086" "AL591824.1" 88888 94767 "+" 5880
"39" "lmo0087" "AL591824.1" 94751 94756 "+" 6
"40" "lmo0088" "AL591824.1" 97127 97369 "+" 243
"41" "lmo0089" "AL591824.1" 97381 98412 "+" 1032
"42" "lmo0090" "AL591824.1" 98396 98401 "+" 6
"43" "lmo0091" "AL591824.1" 99888 99893 "+" 6
"44" "lmo0092" "AL591824.1" 100758 100763 "+" 6
"45" "lmo0093" "AL591824.1" 102155 102478 "+" 324
"46" "lmo0094" "AL591824.1" 102455 102460 "+" 6
"47" "lmo0094" "AL591824.1" 103065 103094 "+" 30
"48" "lmo0102" "AL591824.1" 108320 108610 "+" 291
"49" "lmo0103" "AL591824.1" 108624 109256 "+" 633
"50" "lmo0103" "AL591824.1" 109264 109299 "+" 36
"51" "lmo0107" "AL591824.1" 113273 113306 "-" 34
"52" "lmo0108" "AL591824.1" 115087 116829 "-" 1743
"53" "lmo0107" "AL591824.1" 115104 115109 "-" 6
"54" "lmo0114" "AL591824.1" 121112 121447 "-" 336
"55" "lmo0113" "AL591824.1" 121115 121120 "-" 6
"56" "lmaD" "AL591824.1" 121664 122092 "+" 429
"57" "lmaC" "AL591824.1" 122104 122520 "+" 417
"58" "lmaB" "AL591824.1" 122798 123187 "+" 390
"59" "lmaA" "AL591824.1" 123200 123712 "+" 513
"60" "lmo0120" "AL591824.1" 124104 124508 "+" 405
"61" "lmo0121" "AL591824.1" 124482 124487 "+" 6
"62" "lmo0122" "AL591824.1" 126345 126350 "+" 6
"63" "lmo0123" "AL591824.1" 127188 128324 "+" 1137
"64" "lmo0124" "AL591824.1" 128300 128305 "+" 6
"65" "lmo0126" "AL591824.1" 129218 129697 "+" 480
"66" "lmo0127" "AL591824.1" 129681 129686 "+" 6
"67" "lmo0128" "AL591824.1" 130249 130671 "+" 423
"68" "lmo0129" "AL591824.1" 130637 130642 "+" 6
"69" "lmo0129" "AL591824.1" 131386 131419 "+" 34
"70" "lmo0133" "AL591824.1" 136469 136702 "+" 234
"71" "lmo0134" "AL591824.1" 136714 136992 "+" 279
"72" "lmo0134" "AL591824.1" 137000 137034 "+" 35
"73" "lmo0136" "AL591824.1" 138999 139949 "+" 951
"74" "lmo0137" "AL591824.1" 139960 140853 "+" 894
"75" "lmo0137" "AL591824.1" 140863 140896 "+" 34
"76" "lmo0138" "AL591824.1" 141052 141336 "+" 285
"77" "lmo0139" "AL591824.1" 141324 141329 "+" 6
"78" "lmo0140" "AL591824.1" 141607 141613 "+" 7
"79" "lmo0141" "AL591824.1" 143016 143258 "+" 243
"80" "lmo0147" "AL591824.1" 145869 146306 "+" 438
"81" "lmo0148" "AL591824.1" 146666 146705 "+" 40
"82" "lmo0153" "AL591824.1" 150232 151173 "+" 942
"83" "lmo0154" "AL591824.1" 151186 151890 "+" 705
"84" "lmo0155" "AL591824.1" 151826 151831 "+" 6
"85" "lmo0162" "AL591824.1" 162467 163459 "+" 993
"86" "lmo0163" "AL591824.1" 163451 163456 "+" 6
"87" "lmo0164" "AL591824.1" 164309 164698 "+" 390
"88" "lmo0165" "AL591824.1" 164756 165508 "+" 753
"89" "lmo0166" "AL591824.1" 165480 165485 "+" 6
"90" "lmo0167" "AL591824.1" 165748 165753 "+" 6
"91" "lmo0167" "AL591824.1" 166646 166692 "+" 47
"92" "lmo0174" "AL591824.1" 172903 173208 "-" 306
"93" "lmo0179" "AL591824.1" 179174 180052 "+" 879
"94" "lmo0180" "AL591824.1" 180035 180040 "+" 6
"95" "lmo0182" "AL591824.1" 182267 185569 "+" 3303
"96" "lmo0183" "AL591824.1" 185560 185565 "+" 6
"97" "lmo0184" "AL591824.1" 187849 187854 "+" 6
"98" "lmo0187" "AL591824.1" 192018 192593 "+" 576
"99" "ksgA" "AL591824.1" 192574 192579 "+" 6
