"X","logFC","logCPM","PValue","FDR","GeneID","Chr","Start","End","Strand","Length"
1253,-11.7640366591567,11.5628518223376,9.94273534961439e-09,4.14341514793591e-06,"lmo2840","AL591824.1",2927390,2928631,"-",1242
1240,-11.6483674051648,11.4524953547776,1.59387739339236e-08,4.14341514793591e-06,"serC","AL591824.1",2912595,2913686,"-",1092
269,-11.6258780708031,11.4303154686076,1.75905264675912e-08,4.14341514793591e-06,"cheA","AL591824.1",726413,728269,"+",1857
1249,-11.4803471865149,11.2903242027927,2.72974810971693e-08,4.14341514793591e-06,"lmo2836","AL591824.1",2923236,2924288,"-",1053
699,-11.4558236991146,11.2687940201517,3.8107246576319e-08,4.14341514793591e-06,"trpE","AL591824.1",1674961,1676325,"-",1365
565,-11.3484556215186,11.1633262551386,3.94412109859994e-08,4.14341514793591e-06,"lmo1296","AL591824.1",1323794,1325017,"+",1224
415,-11.3480089501236,11.1673083496487,4.38395003915172e-08,4.14341514793591e-06,"gbuA","AL591824.1",1043821,1045014,"+",1194
748,-11.2983839940132,11.12019277492,5.68325150716128e-08,4.14341514793591e-06,"purM","AL591824.1",1838614,1839663,"-",1050
1133,-11.3240763284835,11.1374619521216,6.28439060096015e-08,4.14341514793591e-06,"lmo2581","AL591824.1",2661076,2662164,"-",1089
164,-11.405825923707,11.2172778946371,6.29990034687668e-08,4.14341514793591e-06,"lmo0383","AL591824.1",406637,408103,"+",1467
673,-11.2780132016553,11.1013600931948,6.42842970765797e-08,4.14341514793591e-06,"dnaB","AL591824.1",1598432,1599808,"-",1377
944,-11.2372380225939,11.0525708713385,1.22595098832541e-07,7.24332708935598e-06,"lmo2184","AL591824.1",2271444,2272316,"-",873
93,-11.1674712254672,10.9916175664451,1.3542244028643e-07,7.38573155100609e-06,"lmo0179","AL591824.1",179174,180052,"+",879
664,-11.3903286523885,11.2080738045543,1.57778234010523e-07,7.4709039332543e-06,"mreC","AL591824.1",1580804,1581691,"-",888
551,-11.1781698366002,10.9998227991045,1.580586163594e-07,7.4709039332543e-06,"lmo1250","AL591824.1",1273473,1274678,"-",1206
835,-11.2091674422063,11.0251598171695,1.79920590711547e-07,7.97273117590544e-06,"lmo1943","AL591824.1",2018258,2019265,"-",1008
817,-11.0821013281058,10.9067620297725,2.34917173811421e-07,9.79742801366456e-06,"panB","AL591824.1",1976307,1977140,"-",834
22,-11.155734662909,10.9774070013504,3.52352056153239e-07,1.38787559895915e-05,"lmo0048","AL591824.1",51775,52389,"+",615
803,-10.9564910640568,10.7959580934954,3.91773940713598e-07,1.46193538929443e-05,"lmo1874","AL591824.1",1947914,1948858,"-",945
453,-10.9176946171547,10.7543943427421,4.24832446103546e-07,1.47275407616039e-05,"lmo1075","AL591824.1",1104863,1105864,"+",1002
619,-10.9623973032156,10.7992210103497,4.36217709441019e-07,1.47275407616039e-05,"lmo1437","AL591824.1",1469444,1470487,"-",1044
103,-10.9838843324104,10.8216941001313,6.01857483314189e-07,1.933123127582e-05,"sul","AL591824.1",232662,233477,"+",816
445,-11.3421771102923,11.1567056132855,6.27106233207136e-07,1.933123127582e-05,"lmo1057","AL591824.1",1084853,1085806,"+",954
801,-10.9426227415241,10.7601383658263,9.35040222310453e-07,2.76226465674213e-05,"lmo1869","AL591824.1",1943068,1944051,"-",984
1096,-10.9059516029724,10.7271197709843,1.1348624653993e-06,3.21846995187242e-05,"phoP","AL591824.1",2576836,2577546,"-",711
15,-10.9536592242411,10.7738943123617,1.18642957869708e-06,3.2353021972932e-05,"lmo0026","AL591824.1",28254,28895,"+",642
24,-3.70831813498319,12.5129034859513,1.24853837827372e-06,3.27856929702247e-05,"lmo0052","AL591824.1",54839,56812,"+",1974
431,-10.7909843300497,10.6378860031091,1.45709167797776e-06,3.65732989427914e-05,"lmo1037","AL591824.1",1067704,1068526,"-",823
509,-10.8480712310433,10.6822710094657,1.49594593701121e-06,3.65732989427914e-05,"cobD","AL591824.1",1196097,1197182,"+",1086
484,-10.7768726608673,10.6318717994452,2.25709417813068e-06,5.33426590764885e-05,"lmo1126","AL591824.1",1160778,1161230,"+",453
427,-10.8332015009033,10.6531422281577,2.9724867055068e-06,6.79836475549781e-05,"lmo1032","AL591824.1",1061291,1062115,"+",825
323,-10.7391502468118,10.5662577320182,3.85854484149942e-06,8.54908841444715e-05,"lmo0767","AL591824.1",792879,793754,"+",876
315,-10.7439544153986,10.5712125996656,3.98457576056733e-06,8.5608006492189e-05,"lmo0758","AL591824.1",783901,784788,"+",888
334,-10.7369846363267,10.5539900180767,5.80861319271049e-06,0.000118247457232596,"lmo0834","AL591824.1",864824,865537,"+",714
118,-10.5633404896443,10.4172690837447,5.83732158411968e-06,0.000118247457232596,"lmo0252","AL591824.1",267530,267916,"+",387
667,-10.5739151152378,10.417651656693,8.06323353457652e-06,0.000154766637461565,"comC","AL591824.1",1583928,1584638,"-",711
651,-10.540307479573,10.378852641105,8.22466450175908e-06,0.000154766637461565,"lmo1507","AL591824.1",1537815,1538501,"+",687
34,-3.21177757214063,12.0499909079632,8.29496787523196e-06,0.000154766637461565,"lmo0066","AL591824.1",72408,74222,"+",1815
896,-10.5117535014952,10.3792287562364,9.56825756482103e-06,0.000173946015729695,"lmo2078","AL591824.1",2157383,2157844,"-",462
627,-10.5931881044155,10.4251580102765,1.2809670902497e-05,0.00022705141674676,"lmo1453","AL591824.1",1485708,1486412,"-",705
339,-10.5481601017314,10.3768408337294,1.58672475207508e-05,0.000274387280297861,"lmo0853","AL591824.1",891848,892189,"+",342
174,-10.3406327719366,10.2142906403559,2.18854370613849e-05,0.000369447020869569,"lmo0403","AL591824.1",426190,426606,"+",417
776,-10.5361645476881,10.3588495183839,2.73195219098054e-05,0.000450454442652372,"lmo1827","AL591824.1",1902484,1903101,"-",618
413,-10.419612541034,10.2480171639846,2.91336177266072e-05,0.000469448522003739,"lmo1009","AL591824.1",1039297,1039749,"+",453
258,-10.344047840167,10.2039771356046,3.02602641830688e-05,0.000476767273462128,"lmo0677","AL591824.1",712208,712480,"+",273
56,-10.2326899131372,10.1043657732277,3.37673236615506e-05,0.000520457227739986,"lmaD","AL591824.1",121664,122092,"+",429
632,-10.246257278912,10.1114530355061,3.84089254320199e-05,0.000579402726197917,"lmo1463","AL591824.1",1496801,1497196,"-",396
474,-10.3824056538087,10.2231186250646,4.03605611008998e-05,0.000580971264526703,"lmo1108","AL591824.1",1145211,1145711,"-",501
568,-10.3342473775309,10.1840311637312,4.11945576004657e-05,0.000580971264526703,"lmo1309","AL591824.1",1335932,1336438,"-",507
189,-10.3109652793791,10.1669489695614,4.13503908381727e-05,0.000580971264526703,"lmo0431","AL591824.1",452524,453093,"+",570
129,-3.00017141185518,11.853349542561,4.17905987177177e-05,0.000580971264526703,"lmo0288","AL591824.1",311830,313662,"+",1833
285,-10.2755730804628,10.1324217205816,4.54473069534416e-05,0.00061622905447731,"lmo0710","AL591824.1",742578,742979,"+",402
92,-10.4725675623593,10.3009449208102,4.60650774150881e-05,0.00061622905447731,"lmo0174","AL591824.1",172903,173208,"-",306
211,-2.72849981271974,11.5912754939412,5.21130331042127e-05,0.000684224823534941,"lmo0527","AL591824.1",562789,564264,"+",1476
728,-10.3620045026606,10.2055193582922,5.44382316798911e-05,0.000701758295655323,"lmo1691","AL591824.1",1756130,1756617,"-",488
515,-10.3077809815681,10.1535297549389,6.44295739678354e-05,0.00081572442755706,"lmo1178","AL591824.1",1206590,1207111,"+",522
158,-2.6537798024404,11.5207014374399,7.75571889706931e-05,0.000964702578600376,"lmo0358","AL591824.1",385386,386780,"+",1395
705,-10.2203275615079,10.0679563692831,8.39699569835776e-05,0.00102646033623028,"lmo1639","AL591824.1",1683635,1684216,"-",582
825,-2.6755502494366,11.5420497385236,9.02672509492362e-05,0.00108473696479675,"lmo1915","AL591824.1",1988159,1989802,"+",1644
930,-3.35788854953159,11.2306240564543,0.000103155058754164,0.00120482940576137,"lmo2138","AL591824.1",2221671,2223128,"-",1458
764,-2.68699470551769,11.5516451377654,0.000105800502175092,0.00120482940576137,"ffh","AL591824.1",1873731,1875116,"-",1386
1003,-10.228497735891,10.0573963172861,0.000106068416210649,0.00120482940576137,"lmo2295","AL591824.1",2379004,2379399,"-",396
